No;komentar;label;e
86;masalahnya dia sudah diciptakan kekurangan, malah sifatnya kek binatang ngak membantu masyarakat;0;
87;"masalah nya si Bahlil ini udh di kasih kekurangan malah di kurang""ngin";0;
88;SDM rendah nyusahin rakyatðŸ˜‚ kalau pinter ngomong doang adek gw juga bisaðŸ˜‚;0;
89;emang kelebihannya Bahlil apa gw tanya? penasaran gw;1;
90;tapi kalo ini kekurangan semua ga ada kelebihan;0;
91;Kalo soal ini,gw dukung kalo Bahlil lebih ganteng dari henry cavill;1;
92;emang dia cerdas?ðŸ—¿;0;
93;dia kalo gaa cerdas gaa bakal masuk partai dek dek;1;
94;kata siapa masuk perusahaan aja pake orang dalem apalagi masuk partaiðŸ¤£;1;
95;kek tetangga whooppðŸ”¥, gua lamar sana sni ga dptÂ², tetangga gua tinggal blg doang, interview formalitasðŸ”¥ðŸ”¥ðŸ”¥;0;
96;tapi itu butuh kecerdasan,bicara membaca suasa,klk dia GK pinter mna bisa masuk walupun pakai orang dalam itu butuh kecerdasan jg;1;
97;pinter membodohi rakyat?... faktanya dilapangan gd uang sama orang dalem meskipun lu pinter gk bakal guna, orang nilai aja bisa di beli kocakÂ² jgn samakan logika sekolahmu dgn dunia luar bergaul bro dunia luar kejam gk sebagus expetasimuðŸ¤£ðŸ¤£;0;
98;UDAH JELEK GOBLOK LAGI;0;
99;otak nya di kontol;0;
100;Tenangin diri sekarangðŸ˜­;1;
101;bahlil ini punya kelebihan yang cukup menarik apapun fotonya di crop dikit bisa jadi meme;1;
102;liat mukanya mau muntah ðŸ˜‚;0;
103;masa iyaa papa emil mau sama modelan bgini ngakak guaaa ðŸ˜­;0;https://vt.tiktok.com/ZSyP6JC88/
104;kata aku mah mundur aja liiiss..perbaiki diri upgrade diri. masa lalu lupain ajaaa. kebenaran tu akam terungkap seiring berjalannya waktu.;1;
105;betul ih bnyak yg singel mom malah sukses2 aja, padahal dia udah mulai di sukai netizen eh malah berulah lagi;1;
106;maaf aku malah salfok hidungnya hee;0;
107;makanya jangan rekam di otak kakðŸ˜­ðŸ™;0;
108;itu idungnya belok kanan ya;0;
109;hidungnya lisaa plisss ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­;0;
110;bisa aja hasil dna nya dipalsuin wkwk jaman skrng kalo punya duit apa aja bisa dipalsuin kanðŸ˜‚;1;
111;bedak 7 lapis ðŸ˜­;0;
112;gak kelar2 kasus ini;1;
113;aku malah kasihan SM anaknya klo lihat beritaÂ² ini nanti;1;
114;alis nya ko bisa bagus bgt gt anjirrrr;1;
115;dia nangis knp aku juga ikut tidak nangis ðŸ˜‚ apakah aku harus pura2 nangis ðŸ˜‚;1;
116;hidung sama mulutnya;0;
117;alaaaaa anak d luar Nika ko ngotot banget;0;
118;Halunya ga kelar2;0;
119;kenapa idungnya manggil manggil minta ditanya si ðŸ˜­;0;
120;Gemes banget sama hidungnya ðŸ˜Œ;0;
121;yaudasi gausah kemana2 toh itu salahnya sendiri kenapa mauuu, dan kalaupun emang anaknya toh juga gabisa dinasabkan ke bapak nyaaa dan juga gaberhak dapat nafkah sesuai hukum agama;1;
122;tidak ada perjanjian tdk ada pernikahan ngotot tes DNA ulang lalu mau ngapain andaikan itu anak RK mau nuntut apa hak yg mana;1;
123;Harus nya cek daftar pengunjung mom siapa aja langganan nyaðŸ«¢;0;
124;Aktingx bguss;1;
125;anaknya Bram kali (brame-rame)ðŸ˜­;0;
126;Aku Malah merasa engap denger yg lg ngomong ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­;0;
127;di Konoha nglawan pejabat ya emang susah;1;
128;kaya majikan sm pembantunya wkwkwk;0;https://vt.tiktok.com/ZSyPdHVtT/
129;kak hitam bagus tp ga kumel;0;
130;tan skin engga masalah sama sekali tp ada yg bersih ada yg kurang bersih;0;
131;komenn nya kenapa sii yaampunn, kulit orang indo ma emang ginii ih, ngapa pada ngebet putih sii, yg putih aja ada yg pengen tan skin;1;
132;minimal gincuan kak biar agak seger gtu diliatnya;0;
133;kenapa sih anjir kalau warna kulitanya gtu, semua nya tetap cantik njir, nggak usah obses sama kulit putih;1;
134;Komen nya nggak bngt njir padahal sesama perempuan;1;
135;circle problemmatic;0;
136;hahahahhaha itu bukan kayak kulit Erika kalau kulit Erika hitam tapi bagus kalau ini sedikit ya tau lah yaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚;0;
137;INI KULIT YG AKU MAUUUUUUUUU;1;
138;MANIS BGTT KAA MASYA ALLAH;1;
139;kak cakep banget aslii;1;
140;semua wanita cantik dengan warna kulitnya masing-masing,so beautiful ka namira;1;
141;Banyak artis indonesia kulitnya exsotis mulus ðŸ˜Š muka pun mulus;1;
142;cantikkk ngga haruss putihh;1;
143;Kakak cantik gak usah dengar kata netizen ini;1;
144;dia tu kaya kusemm gt ga si bukan tan skin..;1;
145;Masyaallah canciknyaa manisnya itu loh;1;
146;cantikkkk bangetttttt;1;
147;cantikkkk bgt dua dua nyaa;1;
148;Inimah kopi sama susu;0;
149;chacu cosplay jadi wanita somalia;0;https://www.tiktok.com/@gyr4tegirl/video/7561422937287445816?q=chacu&t=1762351279656
150;ga keluar sama sekali auranyaðŸ˜­;0;
151;Dia lagi hamil ya?(bertanya dengan nadaaa sangat lembuutt);0;
152;ini serius dia?ðŸ˜­kok kokkkkðŸ˜­cantikan kenzieðŸ˜­;0;
153;Baru pernah liat orang resepsi seleranya kureng bgt maapðŸ˜­ðŸ™ðŸ»;0;
154;LIAT KOMENANNYAAAA MIRIS BGT, KAK CHACHU TUH LAGI NGADAIN ACARA BAHAGIA, SEMUA PASTI SUDAH DIPERSIAPKAN, MLH ADA YG BANDINGÂ²IN, KALIAN TUH SESAMA PEREMPUAN, KLO PAS ACARA SEPERTI INI KALIAN DICEMOOH JUGA KESELKAN, APALAGI INI MOMEN ACARA RESEPSI BELIAUðŸ¥º;1;
155;malah kayak tamu undangan bukan pengantinðŸ˜­;0;
156;kirain chacu dililit ular weling ðŸ¥ºðŸ™;0;
157;pdhl body chacu bgus bgttt tpi knpa gaunnya harus ituuðŸ˜­ðŸ˜­ðŸ˜­;0;
158; jujur emg ke bude bude;0;
159;keknya dia ini lagi hamill;0;
160;serius gini diluar ekpetasiðŸ™‚;0;
161;maaf kayaknya hamil ya, aura bumil;0;
162;Kurang aksesoris sama model rambutnya sih menurutku, bajunya terlalu ramai buat dia yg gemoy;0;
163;aura bumil nya kuat bgt ðŸ˜‚ pengalaman tmnku nikah dressnya rame bagian depan bgini karna udh hamil besar.;0;
164;chacu kayak abang abangan keker bgt;0;
165;cakepan bridesmaid nya, maaf aku mewakilin kalian semua ;0;
166;Kayak mau dangdutan;0;
167;aku ga ngehujat plis,tapi keliatan bgt ga nyamannya ðŸ˜­ kasian kak chacu;1;
168;Aku jdi chacu nangis bgt, jujur emg ke bude bude;0;
169;"jahat jahat bgt ketikan kalian plis ya allahhhh:(. aku bacanya aja istighfar berkali"":((";1;
170;engga ada tampang sedih dn menyesal. beda sama si logo Dufan. smpe bengkak matanya;0;https://vt.tiktok.com/ZSyPxrvsX/
171;DO, teman saja di bully apalagi pasien bpjs;0;
172;salut sm yg cepuin isi chat ke mediaðŸ¥°;1;
173;Sempet sempetnya ngalis dulu anj;0;
174;belum tentu keluarga kak Timothy Anugerah memaafkan muu..;1;
175;tanpa kita sadari, skrg kita yg menjadi pembully;1;
176;hak apa yang melekat ke kamu kok bisa jadi yang ngasih pelajaran?;1;
177;"asal ngebales bully nya ga senang, ya ttp aja faktanya sama sifat neti nanti kebawa jg ke lingkungan, trs ada masih bnyk tuh nanti pembully kedepannya ga habis""";1;
178;Karena apa dia minta maaf guys ðŸ˜¹;1;
179;rakyat Indonesia dan netizen wajib untuk tidak memaafkan Calista Amore ðŸ¤£ðŸ¤£ðŸ¤£ kawal sampe dia dpt efek jera yg setimpal;0;
180;LU BACA YA ANJIRðŸ˜­ soalnya gue pernah di tes hapalan gue bikin contekan belakang kamera kek gini hasilnyaðŸ˜­ðŸ™;0;
181;Full senyum habis wd 55jt bilekkðŸ˜‡ðŸ˜;1;
182;Lah ngapain minta maaf? kan dia gak salah ðŸ˜‚ðŸ˜‚;1;
183;Blm jadi dokter aja udh gini,gimana udh jadi dokter,gimana nasib pasiennya cobaðŸ—¿;0;
184;ga ada menyesal2 sii dari raut mukanya;0;
185;ini apa, ketinggalan berita guaðŸ˜­ðŸ˜­;1;
186;kasus perundungan di UNUD om;1;
187;dia cuman baca teks, bukan minta maafðŸ˜;0;
188;"menyesal karena ketauan..kalau ga ketauan ya lanjut buly..sekarang aja pasti masih ngebully mungkin sama temen"" nya";0;
189;dia itu cuma sedih dirinya di hujat bukan sedih. akan timoty dia juga menyesal kerena kerena di hujat bukan. kerena menghujat timoty;1;
190;alisnya beda sebelah jir;0;
191;cantikk bangett semangat kaka ðŸ¥°ðŸ¥°ðŸ¥°;1;
192;dia klarifikasi karena takut kena bully, gak dapet kerja dan dikeluarkan dari kampus. bukan betulan menyesal;0;
193;Dia menangis bukan kerana empati, tapi takut di blaklist dari dunia kedokteran;0;
194;jgn minta maaf jika km minta maaf karna ketahuan ðŸ˜;0;
195;mau klarifikasi pun harus dandan dlu. tau bgt kayaknya dia biar g di jadiin bahan candaan wkwkkðŸ¤£;0;
196;aku kira kuliah itu menjamin moral dan etika.. ternyata ada ya yang begini.. calon dokter lagi.. ðŸ˜­;1;
197;gua yang udah muak dengan namanya klarifikasiðŸ˜‚;1;
198;emang timothy ronald ada masalah apa ya sama cewe ini?;1;
199;Harusnya dibawa ke hukum ini bahwa tindak bully itu gaboleh diremehin apalagi banyak jiwa yang trauma;1;
200;gw jg manurung, asli malu & marah bget atas sikap bocah tengil bgini;1;
201;takut sama kekuatan netijen yaa,makanya langsung nongolðŸ˜ðŸ˜‚;1;
202;kalo Timothy jadi dokter pasti lembut tulus bgtt..;1;
203;benar kata orang penyelesaian ada di akhir;1;
204;nah loh, giliran datanya kesebar baru deh buka mata ðŸ—¿;0;
205;yang bully timothy beruntung banget, ayah timothy ga nuntut dihukum lo, smoga tenangg kaka timothyðŸ˜ž;1;
206;gak papa, nanti ada pengadilan di akhirat guys;1;
207;Alesan mereka apa ya bully timoty? Pdhl beda fakultas loh;1;
208;aku juga korban pembulian gays di kuliah nyampe aku kena anxiety. aku berharap tuhan yg adili semua;1;
209;udah lah maafin aja, calon dokter cantik nih;1;
210;Gada komen tebak agama soalnya pelaku bukan islam;0;
211;minta maaf yg tulus utama kpd orangtua dn kluarga timothy...bukn krna tkut dihujat netizen, situ enak ga dibully bnyk orang??;1;
212;Manusia tidak akan saling mengerti, jika tidak merasakan penderitaan yang sama, rest in peace timothy.;1;
213;ini harus dijadikan pelajaran buat smua, sampe saat ini kematian timothy blm jls karna apa. pihak keluarga juga menolak dilakukan penyelidikan dari hp timothy, dan yg tersebar adalah chat para mahasiswa yg minim empati. supaya ga keliru saja tapi kasus ini butuh penyelidikan lbh dalam dan bukti dari hp korban, kita butuh keterbukaan dari pihak keluarga, terutama sdh 3 bln terakhri timothy tinggal ditemani ibunda tidak mungkij ibunya tidak mengetahui apa masalah yg anaknya dapati.;1;
214;biasanya klo berita2 bgini banyak yg komen â€œtebak agamaâ€, kok kosong ya skrg ?;0;
215;perasaan setiap hari buka tiktok ga ngertti ada kasus ini, emg kasus apa ya? (bertanya dgn nada lembut);1;
216;Kesalahan terbesarmu adalah kini yg kamu hujat sdh tak bernyawa nak, dan entah bagaimana dgn hati orang tua, keluarga yg telah kamu buat hancur utk seumur hidup.;1;
217;Keluarga manurung kah;1;
218;mana sama lagi marga nya sama gueeðŸ™ðŸ»ðŸ˜­;1;
219;pdhal timothy baik;1;
220;loh kenpa nggak langsung di pecat;0;https://vt.tiktok.com/ZSyPQpLGc/
221;saya yakin Krn mas Uya Kuya orang baik,saya sbg TKW Taiwan,sering melihat,bolak balik Taiwan Indonesia,Hongkong, Indonesia untuk membantu para TKW;1;
222;pecatttt woyyyyy bukan di nonaktifkan astaghfirullah hukum di negara gak dapat di percaya lagi;0;
223;muka Eko bengek bgtðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£;0;
224;kek stroke anjir;0;
225;Iya baner anjir kata gue dikit lagi stroke nih orgðŸ˜‚;0;
226;itulah indonesia ..krj cm duduk ,teken ,plng gaji +tunjangan besar ya moh kla mengundurkan diri;1;
227;Krn mereka ada perjanjian tertulis dgn partai, dan hanya ketua partai yg pecat org2 tsb. MK Indonesia mgkin kerja di bawah tekanan ketua partai;1;
228;Kalo cuman nonaktif berapa bulan ya gk ada apa2 nya, tabungannya masih banyak;0;
229;pecat aja pk ....gk guna ngabisin anggaran negara aja .....nnti psti ngulangin lg;0;
230;idak puas atas putusan ini harusnya mereka non activ selama nya;0;
231;Nafa urbach brrt bulan depan sdah mulai aktif lg jd dewan.. Untuk Eko awal tahun dn sahroni hbs lebaran...;1;
232;ko kaga joget joget lagi ko ama nafa ama sahroni;0;
233;anjj.. mata ngantuk sahroni;0;
234;ðŸ˜ tdk di pecat, cuma di non aktifkan selama 6 BLN trs bisa ngantor lagi, ini lah hukum Indonesia ðŸ˜‚ðŸ˜;1;
235;hakimnya Menye menyeðŸ˜‚;0;
236;itu kenapa bibir pak eko;0;
237;liat sahroni ingat ( heeeeehaaa' )ðŸ˜‚;0;
238;ðŸ‘ðŸ‘ðŸ‘alhamdulillah smoga bisa mmbuka mata bgi merka ni kmi mmilih bukn mnjdi orng Bodh tpi lebih pintarðŸ‘;1;
239;Nafa Urbach gk bersalah dia cuma ngasih tau informasi tunjangan rumah TDK ada merendahkan rakyat kayak yg lainnya;1;
240;Podcast bisa tapi konferensi pers buat minta maaf gabisa ya pakðŸ™;0;https://www.instagram.com/reel/DQqshGSkWFP/?utm_source=ig_web_button_share_sheet&igsh=MzRlODBiNWFlZA==
241;Sampe sekarang saya ga tau ketum federasi brazil wlopun juara pildun berkali kali;1;
242;Karakter pemimpin juga perlu dibentuk. Misal jangan egois, tidak anti-kritik, dan mengakui kesalahan.;1;
243;Cinta tanah air sama pura pura mau jadi pahlawan ituu beda ga sih pa? (Bertanya dengan penuh keikhlasan) ðŸ¤£;0;
244;BACOT TOWEL;0;
245;Berisik;0;
246;Halahhhh ngibull;0;
247;Sekarang denger erik pidato telinga tersiksa;0;
248;Pak gimana tuntutan supporter apa kabar;1;
249;Kalau di suruh ngomong pinter. Ngambil keputusan 0 besar;0;
250;Terlalu banyak kata2 hasil merusakan;0;
251;Harus berani legowo dan mental ksatria ðŸ™Œ;1;
252;Lelaki tidak banyak bercerita. Lelaki itu yg di pegang omongan nya.;1;
253;Harus berani ngundurkan diri ya pak;1;
254;Harus berani bertanggung jawab atas ucapan juga;1;
255;Teori bullshit;0;
256;Luar biasa;1;
257;Harus berani bertanggung jawab dan minta maaf kepada rakyat;1;
258;Bacooot;0;
259;Hidup itu tidak harus tenar tp bagaimana kerja nyata kita itu bisa di lihat baik oleh rakyat....tp sayang kamu cuma ingin mencari ketenaran dari pada kebanggaan;0;
260;iya perubahan, contoh nya kayak kemarin kan yahh udah bagus timnas udah naik dirubah biar lebih buruk ga boleh bagus bagud timnas indo yah erik;0;
261;Semangat Pak, Netizen dan para FOMO yg bersuara sumbang gak mewakili masyarakat yg mengapresiasi kinerja Bapak! Gak tahu mungkin suruhan orang internal PSSI yg ngebet gantikan BAPAK! tetap tegar dan kita Songsong hari2 baik olahraga dan sepakbola nasional ke depan!;1;
262;Terimakasih Pak, salut anda sangat gentleman;1;
263;Indonesia negara besar pak;1;
264;Belajar tidak nyinyir ke orang lain ataupun TIMNAS dll, belajar Menghargai, tunjukkan PRESTASIMU;1;
265;Perubahanmu menghancurkan mimpi itu;0;
266;Banyak yang udah gak peduli omongan mu pak kecuali anak buah mu sendiri ðŸ™Œ;0;
267;LUCU LAMA LAMA;0;
268;Di kasih princess malah pilih ikan teri;0;https://www.tiktok.com/@user5815799026/video/7497170521323228421?q=safno%20selingkuhin%20dilan&t=1762369053730
269;Produk kendal apa produk gagal;0;
270;gatau ya sejauh ini mata memandang dan menurutku juga, kenapa yg jadi selingkuhan selalu ga lebih cakep dr istri sah si ;0;
271;bener kata orang-orang kalau istri sah lebih cantik dari pada selingkuhanya;1;
272;dilan mangap aja cantik , lah ini?;0;
273;udah di bilang kemarin kebanyakan pakai filter kok ngga percaya;0;
274;selayaknya tkw pada umumnyaðŸ˜­ðŸ™;0;
275;bagaikan langit dan bumi ;1;
276;keren banget jadi bang safnoviart;1;https://www.tiktok.com/@ellisygmisumapakade/video/7503551740202011959?q=safno%20selingkuhin%20dilan&t=1762369053730
277;Jika kau tak bisa menghargai perempuan, setidaknya belajarlah menghargai dirimu sendiri.;1;
278;jago bgt aktingnyaðŸ¤£;0;https://www.tiktok.com/@univ.udayana/video/7543966244534242578
279;katakan pretttttttttt;1;
280;BLACKLIST KAMPUS UDAYANA;0;
281;Markas perundungan;0;
282;banyak para pembullyan di sini ya;0;
283;amit-amit masuk ke univ ini,takut dibully;0;
284;kampus macam apa ini;0;
285;air mata buaya;0;
286;udah gimmick nya??;0;
287;dibayar berapa sampe nangis gitu;0;
288;kepalsuan yg nyata ngurus mahasiswa aja masih tolol;0;
289;kok cara rias dan gaya nya seperti pekerja malam ya nih cewek2 nya;0;
290;kita disuruh ngirimin sedih, dia nya sibuk pacaran nyamperin laki2;1;https://www.instagram.com/p/DKrFv0hJRhK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
291;Biarin ajaasi orang lagi birahii juga;0;
292;Yakali umur masih muda, bisnis women, suruh ngikutin maunya netizen suruh singel seumur hidup itu lama..jadi pastikan bahagia no 1, kalau dengan punya pasangan buat diri sama anaknya bahagia kenapa nggak , masa lalu tetap ada di tempat khusus di hatinyaâ¤ï¸;1;
293;Mama kamari cantik banget;1;
294;kocak bgt komenya anjir, tim baca komen ajah ðŸ˜­ðŸ™‹;1;
295;Aura Ladies Club nya kuatðŸ˜‚;0;
296;Akhirnya satu Indonesia sadar ada yang ga beres sama ni orang;0;
297;sok cakep lu aslinya mah tulang semua tuh badannyaðŸ˜›ðŸ˜ƒ;0;
298;Apa gue doang kali ya , yang gak suka sama ini orang..;0;
299;netizen kenapa deh ngurusin hidup orang mulu;1;
300;orang nolong kok disindir;1;
301;Ketek nya kok gitu kaya nenek-nenek keriput;0;
302;Awas hamil lagi;0;
303;siklus netijen, idup ngurusin orang mulu padahl idup nya sendiri berantakan ðŸ˜¢;1;
304;ntah lah ga respect.;0;
305;Emg kenapa si, org juga butuh pendamping hidup lagi, netizen gatau apa2 mending diem, mau gimn pun juga mamari berhak bahagia, gausah urusin hidup org lainðŸ˜’;1;
306;cakeppp polllll mamariii;1;
307;cantikk bgtt ni oranggðŸ¥°ðŸ¥°;1;
308;Komennya jahat2 amat para ahli neraka, sibuk amat urusin hidup orng.;1;
309;"Ngeri ya komen"" Org sempurna ðŸ˜µ";1;
310;secantik inii masih aja di hujat, heran ya. dia juga manusia, pantas bahagia ga harus selalu terpuruk dari kesedihan;1;
311;Netizen ngapain sih, terlalu ngurusi hidup orang. Namanya jg manusia tempatnya lupa, salah, dan dosa. Dia punya hak dan tanggung jwab atas dirinya sendiri. Kalo ga suka ya udah, diunfollow aja, ga usah kepo2 dah hm;1;
312;yang gapernah hujatt orang lain, mending urusin hidup sendiri ðŸ™Œ;1;
313;Buset cantik banget;1;
314;Jangan ngata ngatain, doain aja yg terbaik buat Jen.;1;
315;kaaaa kamu selalu canciiii,keep going babeâ¤ï¸;1;
316;Apasih cakep amatðŸ”¥;1;
317;guys plis lah, knpa yg hate comment malah yang sesama perempuan ðŸ™ðŸ’”;1;
318;Cantik sangat ðŸ˜ðŸ”¥ðŸ”¥;1;
319;Iiiii cantik banget mamariiiiiðŸ˜­;1;
320;Netijen kok pada sibuk banget sih sama hidup orang,apa udah bagus yah hidup nya udah rapi?;1;
321;You deserve to be happy, Jen ðŸ¥º;1;
322;semangat ka jennnnâ¤ï¸ðŸ™Œ;1;
323;Idih idih idih pakaian nya kurang bahan mbak.;0;
324;CANTIK BANGETTTTâ¤ï¸;1;
325;Mamari aku pngen langsing kaya kamu ðŸ¥°;1;
326;Semangat mama riii ðŸ˜ðŸ”¥;1;
327;ALAYY BGT;0;
328;cantik juga;1;
329;CANTIK BGTTTT GILEEEEE;1;
330;Ternyata bener adab sama etika ketika berbicara/berkomentar tentang orang tuh udah ga dipake,makin rendah aja jadi manusia ðŸ¤;1;
331;reza rahadian : TAU KAN KENAPA GUE MULU;1;https://www.tiktok.com/@zloomyx/video/7466732525478628614?is_from_webapp=1&sender_device=pc
332;ariel tatum : harus nyapu gmna lg gueðŸ˜©;1;
333;MUKA SEIRENGGG itu jadi pemeran ahn hyo seop;0;
334;2 manusia terlihat panikðŸ˜­ðŸ˜­ðŸ˜­;1;
335;ariel tatum sampe nunduk;1;
336;Tebak isi pikiran ariel tatum ðŸ˜­;1;
